avg energy          ,min energy

1000                ,1000

-0.9998661068308653 ,-0.9999603078500162

-2.756722677649547  ,-2.999939388634586

-5.303641568040379  ,-5.999924957140308

-8.249526059021749  ,-9.10375209669345

-11.246308066429723 ,-12.711309273098266

-14.173782716790742 ,-16.50454515592766

-17.524106841054536 ,-19.82130503862773

-21.074255645313038 ,-24.112189471342585

-24.009823204050406 ,-28.420501021991964

-26.93367111225753  ,-32.76298823997794

-30.464525148227622 ,-37.96587605582915

-33.403260243304494 ,-44.323317080319704

-35.56226795520624  ,-47.84226928208832

-38.11116963019013  ,-52.31991505959347

-40.78992593684846  ,-56.81228428206209

-42.90705537456462  ,-61.30040542872471

-45.319552700362905 ,-66.50902726705782

-47.06730520087267  ,-70.70582692371141

-49.33880009139045  ,-75.57773356091656

-51.36264530517068  ,-81.6436472861761

-51.22412489025303  ,-86.16479212669256

-53.11059585111254  ,-92.83663179048509

-54.214331400415574 ,-95.63457350297321

